OBJECTID,DOWLKNUM,LK_PCTLTRL,LK_LZACRES,LK_LZDEPTH,AREA,ACRES,PERFEET,PERIMETER,LAKE_NAME,Shape_Length,Shape_Area
102079,03010200,98,3084.44,15,12482564.2,3084.442,66674.364,20322.387,Shell,20322.38703,12482564.16
102080,03010700,32.75,557.91,15,2257817.436,557.907,96399.475,29382.619,Toad,29382.61856,2257817.453
102081,03012000,100,165.56,15,670001.204,165.557,12934.238,3942.364,Mud,3942.363577,670001.1935
102082,03012700,63.34000015,82.21,15,332716.666,82.214,25592.714,7800.675,Bass,7800.674927,332716.6608
102083,03013600,39.43000031,164.04,15,663844.457,164.036,64053.481,19523.54,Juggler,19523.54069,663844.4575
102084,03015300,40.90999985,482.53,15,1952770.449,482.53,127976.802,39007.407,Island,39007.40798,1952770.445
102085,03015500,43.13000107,471.88,15,1909692.388,471.885,60954.278,18578.901,Round,18578.90113,1909692.372
102086,03015600,30.70999908,106.03,15,429103.1,106.031,39738.232,12112.237,Ice Cracking,12112.23752,429103.1039
102087,03015800,29.45000076,500.95,15,2027311.771,500.949,152957.192,46621.445,Many Point,46621.44534,2027311.75
102088,03015900,24.70999908,243.35,15,984839.975,243.354,142833.044,43535.599,Elbow,43535.59939,984839.9844
102089,03016600,75.66000366,182.2,15,737372.048,182.205,32755.343,9983.849,Hungry,9983.848683,737372.0463
102090,03017700,51.31000137,17.97,15,72730.305,17.972,9224.948,2811.77,Hanson,2811.769786,72730.30717
102091,03018900,33.77999878,138.42,15,560173.599,138.419,44517.308,13568.903,Little Toad,13568.90273,560173.5824
102092,03019500,91.08999634,3450.49,15,13963954.35,3450.493,113647.066,34639.695,Height of Land,34639.69561,13963954.37
102093,03021300,99.94000244,231.63,15,937407.844,231.633,13161.933,4011.765,Waboose,4011.765369,937407.856
102094,03023400,23.54000092,68.94,15,278987.37,68.938,31497.678,9600.511,Little Bemidji,9600.511619,278987.3528
102095,03024100,93.90000153,1981.92,15,8020718.007,1981.919,95441.17,29090.527,Tamarack,29090.52681,8020717.943
102096,03025800,48.43999863,74.47,15,301368.448,74.468,27376.897,8344.495,Acorn,8344.494945,301368.4397
102097,03026500,46.97999954,146.78,15,594007.917,146.779,36083.302,10998.212,Eagle,10998.21252,594007.9126
102098,03027300,44.84000015,21.37,15,86470.188,21.367,15584.143,4750.056,Perch,4750.056297,86470.18471
102099,03028600,43.88999939,818.53,15,3312545.375,818.53,122799.943,37429.497,Cotton,37429.4973,3312545.366
102100,03028700,39,137.68,15,557195.729,137.683,66288.025,20204.63,Pickerel,20204.62974,557195.7209
102101,03029100,78.18000031,180.93,15,732214.928,180.93,27459.541,8369.685,Rice,8369.684025,732214.9278
102102,03029300,95.34999847,1144.27,15,4630805.729,1144.272,65702.003,20026.011,Rock,20026.01057,4630805.741
102103,03030400,58.77999878,264.13,15,1068930.308,264.133,98117.816,29906.37,Big Sugar Bush,29906.37026,1068930.301
102104,03031300,49.79999924,106.3,15,430208.937,106.305,31695.88,9660.924,Little Sugar Bush,9660.923491,430208.905
102105,03032300,38.41999817,563.97,15,2282362.926,563.972,67237.311,20493.973,Strawberry,20493.97329,2282362.903
102106,03032800,28.12999916,594.86,15,2407379.039,594.863,167739.722,51127.169,White Earth,51127.16949,2407379.037
102107,03035000,53.91999817,222.19,15,899209.222,222.195,65640.768,20007.346,Buffalo,20007.34576,899209.2388
102108,03035100,97.30999756,204.98,15,829536.531,204.978,19583.465,5969.052,Island,5969.052247,829536.5518
102109,03035200,83.41999817,197.45,15,799067.907,197.45,35573.014,10842.676,Birch,10842.67611,799067.8923
102110,03035500,41.33000183,75.45,15,305348.136,75.452,31251.655,9525.524,Sauer,9525.522928,305348.129
102111,03035700,49.36999893,66.08,15,267410.478,66.077,24377.379,7430.24,Munson,7430.239916,267410.4675
102112,03035800,65.05999756,93.25,15,377391.981,93.254,19370.793,5904.229,Fox,5904.229592,377391.9793
102113,03035900,45.31999969,576.81,15,2334317.456,576.81,70393.427,21455.959,Sallie,21455.95907,2334317.41
102114,03036000,95.61000061,64.18,15,259712.961,64.175,12707.234,3873.173,Muskrat,3873.172773,259712.9582
102115,03037100,42.06999969,29.75,15,120400.179,29.751,12475.764,3802.62,Meadow,3802.620434,120400.1842
102116,03037401,65.55000305,120.19,15,486396.573,120.189,28972.241,8830.757,Johnson,8830.756732,486396.5701
102117,03037402,77.36000061,87.28,15,353199.793,87.276,22483.09,6852.86,Reeves,6852.85997,353199.7917
102118,03037700,100,155.27,15,628351.11,155.266,24259.553,7394.326,Mill,7394.327298,628351.1161
102119,03038100,60.91999817,1868.58,15,7562026.531,1868.577,153804.294,46879.643,Detroit,46879.64321,7562026.57
102120,03038300,44.20999908,180.69,15,731239.061,180.689,64683.986,19715.718,Long,19715.71831,731239.029
102121,03038600,54.88000107,117.6,15,475907.925,117.597,21547.959,6567.831,Little Floyd,6567.831403,475907.9206
102122,03038700,68.80999756,811.54,15,3284237.692,811.535,80552.416,24552.426,Floyd,24552.42588,3284237.701
102123,03042800,100,120.8,15,488851.687,120.795,13697.8,4175.098,O-Me-Mee,4175.097717,488851.6906
102124,03043000,89.93000031,99.92,15,404386.073,99.924,20377.196,6210.982,St. Clair,6210.981936,404386.0689
102125,03047100,100,247.99,15,1003600.472,247.99,21648.605,6598.508,Mission,6598.507922,1003600.476
102126,03047300,100,85.94,15,347808.229,85.943,11436.12,3485.736,Buck,3485.736437,347808.2234
102127,03047500,48.59000015,899.47,15,3640114.535,899.472,101048.439,30799.626,Melissa,30799.62617,3640114.576
102128,03048400,91.01000214,75.87,15,307042.99,75.87,18646.184,5683.368,Ellison,5683.368456,307042.9843
102129,03048600,71.15000153,200.01,15,809413.372,200.006,26661.392,8126.409,Pearl,8126.408385,809413.3677
102130,03050000,50.65999985,259.04,15,1048334.409,259.043,48626.072,14821.256,Maud,14821.25614,1048334.395
102131,03050300,59.63999939,220.66,15,892990.802,220.658,32652.156,9952.397,Eunice,9952.396847,892990.8135
102132,03050600,71.63999939,776.57,15,3142726.903,776.568,176020.822,53651.254,Little Cormorant,53651.25263,3142726.857
102133,03052600,66.44999695,124.78,15,504973.968,124.779,23325.035,7109.485,Marshall,7109.484851,504973.9936
102134,03057500,70.86000061,374.48,15,1515500.595,374.48,88911.274,27100.21,Leif,27100.2104,1515500.637
102135,03057600,23.23999977,849.95,15,3439699.787,849.95,199358.033,60764.45,Big Cormorant,60764.45016,3439699.773
102136,03057900,70.80000305,295.22,15,1194728.109,295.217,62248.951,18973.518,Boyer,18973.5177,1194728.129
102137,03058200,76.5,483.36,15,1956149.9,483.365,51405.828,15668.528,Ida,15668.52807,1956149.946
