DOW,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone
07006001,Eagle (North),479.506,95.15,479.51,479.51,95.15,15
07007900,Lura,1361.061,100.00,1361.06,1361.06,100.00,10
07009000,Ida,129.451,99.75,129.45,129.45,99.75,8
07009600,Loon,809.627,100.00,809.63,180.06,22.24,2
07009700,Mills,237.077,100.00,237.08,237.08,100.00,8
07009800,Crystal,383.248,100.00,383.25,383.25,100.00,15
08001100,Clear,276.39,100.00,276.39,276.39,100.00,15
08004500,Sleepy Eye,189.297,89.50,189.30,145.83,68.95,11
08012900,Wellner-Hageman Reservoir,50.02,66.77,50.02,50.02,66.77,15
09000100,Thomson Reservoir,348.489,84.07,348.49,348.49,84.07,15
09000300,Graham,31.059,90.90,31.06,31.06,90.90,15
09000400,Soper,32.35,100.00,32.35,32.35,100.00,15
09000600,Blackhoof,40.888,100.00,40.89,17.85,43.65,3
09000700,Spring,30.771,84.51,30.77,28.21,77.47,10
09000800,Chub,172.923,55.17,172.92,163.52,52.17,14
09000900,Venoah,108.44,97.53,108.44,106.21,95.53,11
09001000,Hay,140.05,100.00,140.05,122.43,87.42,8
09001500,Ellstrom,32.183,100.00,32.18,32.18,100.00,15
09001600,Sand,126.873,99.43,126.87,123.02,96.40,7
09001800,Hizer,34.126,100.00,34.13,34.13,100.00,15
09001900,Munson,31.971,91.15,31.97,31.97,91.15,15
09002000,Crystal,27.045,58.46,27.05,27.05,58.46,15
09002100,Benfield,13.8,53.27,13.80,13.80,53.27,15
09002200,Twentynine,34.082,65.73,34.08,18.42,35.52,8
09002500,Torch Light,126.032,100.00,126.03,63.33,50.25,8
09002600,Bob,43.865,58.36,43.86,43.86,58.36,15
09002900,Park,381.267,100.00,381.27,259.61,68.09,9
09003200,Big,512.297,99.76,512.30,512.30,99.76,15
09003400,Bear,70.075,76.65,70.07,62.45,68.30,13
09003500,Little Hanging Horn,51.734,45.24,51.73,51.73,45.24,15
09003800,Hanging Horn,92.847,22.72,92.85,65.27,15.97,9
09003900,Eddy,19.814,84.17,19.81,9.50,40.35,7
09004100,Moosehead,244.932,89.12,244.93,82.54,30.03,9
09004300,Moose,48.195,36.29,48.20,45.52,34.28,14
09004400,Echo,40.916,38.39,40.92,38.11,35.76,14
09004500,Coffee,27.45,38.32,27.45,27.45,38.32,15
09004600,Bang,60.776,100.00,60.78,51.66,85.01,6
09004700,Spring,26.574,100.00,26.57,26.57,100.00,15
09004800,Corona,14.292,52.43,14.29,14.29,52.43,15
09005700,Eagle,118.851,31.07,118.85,80.28,20.99,10
09005800,Merwin,50.251,95.47,50.25,50.25,95.47,15
09006001,Upper (North) Island,97.993,86.29,97.99,97.99,86.29,15
09006002,Lower (South) Island,236.543,73.10,236.54,236.54,73.10,15
09006200,Cross,100.568,96.92,100.57,33.79,32.57,6
09006300,Woodbury,46.883,79.26,46.88,46.88,79.26,15
09006700,Tamarack,182.134,77.46,182.13,182.13,77.46,15
09006800,Cole,95.322,69.15,95.32,53.17,38.57,9
09007100,Walli,32.75,100.00,32.75,32.75,100.00,15
09007400,Kettle,13.775,62.40,13.77,13.77,62.40,15
