DOW,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone
11050200,Crystal,160.517,84.39,160.52,160.52,84.39,15
11050400,Steamboat,553.604,31.66,553.60,573.82,32.81,16
11050500,Little Wolf,266.205,50.42,266.20,266.20,50.42,15
13001200,Chisago,943.96,73.57,694.50,73.57,694.50,15
13001201,Chisago (north portion),287.705,61.98,287.71,287.71,61.98,15
13001202,Chisago (south portion),437.776,99.68,437.78,437.78,99.68,15
13001300,Kroon,140.317,77.34,140.32,112.56,62.04,8
13001900,Spider,130.683,98.53,130.68,130.68,98.53,15
13002300,Moody,45.33,48.53,22.00,48.53,22.00,15
13002700,South Center,544.508,65.48,544.51,462.13,55.57,10
13002800,South Lindstrom,261.419,47.67,261.42,245.01,44.68,14
13002900,Wallmark,139.963,98.34,139.96,139.96,98.34,15
13003100,Sunrise,767.257,96.01,767.26,743.11,92.99,12
13003200,North Center,,,,,,
13003201,North Center Lake,642.202,85.71,642.20,536.08,71.55,9
13003300,Little,113.979,75.80,113.98,41.99,27.93,6
13003500,North Lindstrom,61.923,43.54,61.92,61.92,43.54,15
13004100,Green,1809.49,67.86,1228.00,67.86,1228.00,15
13004101,Green (Little Green),225.468,100.00,225.47,225.47,100.00,15
13004102,Green (Main Basin),1073.367,67.33,1073.37,1073.37,67.33,15
13005300,Comfort,88.031,40.41,88.03,53.41,24.52,7
13005400,Little Comfort,17.832,48.93,17.83,9.64,26.45,6
13006800,Fish,157.438,50.13,157.44,105.98,33.75,10
13006901,East Rush,1136.436,76.56,1136.44,722.01,48.64,8
13006902,West Rush,902.792,54.96,902.79,692.00,42.13,10
13007300,Horseshoe,129.131,58.48,129.13,70.34,31.85,7.5
13007400,Mandall,33.287,71.11,33.29,23.48,50.15,9
13007900,Rabour,37.816,73.30,37.82,31.96,61.94,12
13008300,Goose,731.77,50.56,370.00,50.56,370.00,15
13008301,Goose (North Bay),271.999,100.00,272.00,272.00,100.00,15
13008302,Goose (South Bay),210.628,47.08,210.63,210.63,47.08,15
14000400,Tilde,249.678,99.57,249.68,52.91,21.10,6
14002100,Ten,128.893,93.09,128.89,128.89,93.09,15
14003000,Fifteen,92.547,69.55,92.55,88.96,66.85,14
14003500,Mayfield,45.982,100.00,45.98,45.98,100.00,15
14004900,Lee,70.137,51.93,70.14,95.56,70.75,18
14005100,Unnamed,28.857,100.00,28.86,28.86,100.00,15
14005600,Knudson,43.165,100.00,43.16,43.16,100.00,15
14006300,Overson,58.006,100.00,58.01,58.01,100.00,15
14010000,Silver,33.23,30.49,33.23,24.73,22.69,9
14039303,,24.848,100.02,24.85,24.85,100.02,15
15000100,Big LaSalle,42.333,18.25,42.33,49.03,21.13,17
15000500,Ozawindib,64.876,36.94,64.88,64.88,36.94,15
15001000,Elk,75.509,25.21,75.51,85.54,28.56,19.4
15001600,Itasca,426.805,39.98,426.80,494.84,46.36,17
15003800,Falk,28.064,38.13,28.06,28.06,38.13,15
15004000,Bagley,51.342,52.70,51.34,51.34,52.70,15
15005900,Upper Rice,1526.726,100.00,1526.73,1526.73,100.00,15
15006000,Walker Brook,39.831,41.82,39.83,39.83,41.82,15
15006800,Long Lost,382.532,70.84,382.53,382.53,70.84,15
15007500,Rockstad,141.348,100.00,141.35,141.35,100.00,15
15007900,Minerva,211.126,91.79,211.13,211.13,91.79,15
15008100,Lomond,38.836,40.92,38.84,38.84,40.92,15
15009000,Deep,12.084,27.69,12.08,12.08,27.69,15
15012100,Evey,63.645,97.03,63.65,63.65,97.03,15
15012400,McKenzie,88.506,99.41,88.51,88.51,99.41,15
15012700,Island,32.475,73.65,32.48,25.23,57.20,8
15012800,Waptus,32.623,63.22,32.62,32.62,63.22,15
15013700,Minnow,95.323,86.82,95.32,95.32,86.82,15
15014400,Lindberg,72.124,75.54,72.12,72.12,75.54,15
15014900,Pine,1236.15,98.45,1236.15,1236.15,98.45,15
16001900,Tom,223.823,54.97,223.82,189.05,46.43,12
16002700,McFarland,214.878,55.70,214.88,199.70,51.77,12
16002900,Devilfish,233.21,56.82,233.21,233.21,56.82,15
16003300,Chester,28.545,58.26,28.54,14.00,28.57,8
16004900,Trout,58.011,22.78,58.01,35.03,13.76,8
16007700,Greenwood,553.278,26.46,553.28,553.28,26.46,15
16011400,Alder,155.222,29.35,155.22,497.11,93.99,7
16014300,Devil Track,628.335,33.65,628.34,265.36,14.21,6
16014500,East Twin,156.564,90.60,156.56,156.56,90.60,15
16014600,East Bearskin,289.321,48.77,289.32,192.97,32.53,10
16014700,Flour,103.713,31.42,103.71,80.45,24.37,11
16015600,Two Island,725.105,96.19,725.11,725.11,96.19,15
16018200,Ball Club,171.742,83.37,171.74,59.18,28.73,6
16020400,Aspen,94.297,68.28,94.30,94.30,68.28,15
16022700,Hungry Jack,186.033,39.78,186.03,134.44,28.75,10
16022800,Bearskin,95.818,19.20,95.82,221.23,44.33,28
16023900,Poplar,342.629,39.48,342.63,342.63,39.48,15
16024700,Birch,69.801,29.46,69.80,236.86,99.95,10
16025200,Pike,287.042,35.25,287.04,328.31,40.31,18
16025300,Deer Yard,181.178,54.42,181.18,280.50,84.25,18
16031900,Gaskin,136.521,34.30,136.52,136.52,34.30,15
16032800,Iron,107.834,86.25,107.83,107.83,86.25,15
16034600,Cascade,449.716,99.61,449.72,449.72,99.61,15
16034700,Little Cascade,266.154,100.00,266.15,266.15,100.00,15
16034800,Brule,1381.518,28.92,1381.52,1381.52,28.92,15
16035500,Little Iron,115.062,98.22,115.06,94.31,80.51,6
16036000,Caribou,432.196,59.98,432.20,116.70,16.18,4.2
16038400,Tait,354.56,98.82,354.56,90.87,25.33,4.5
16044800,Loon,202.649,18.50,202.65,183.68,16.76,13
16045400,Crescent,586.388,77.62,586.39,404.33,53.52,10
16046300,Magnetic,99.585,22.27,99.59,99.59,22.27,15
16062200,Alton,368.201,37.56,368.20,368.20,37.56,15
16063400,Dyers,58.381,85.19,58.38,58.38,85.19,15
16063900,Four Mile,580.809,97.95,580.81,242.69,40.93,6
16064500,Toohey,368.932,100.00,368.93,270.46,73.31,6
16066400,Wonder,78.008,99.61,78.01,78.01,99.61,15
16081100,Gabimichigami,161.687,13.63,161.69,161.69,13.63,15
17000300,Mountain,219.788,100.00,219.79,206.08,93.77,7
17000700,Bingham,269.749,100.00,269.75,18.32,6.79,4
17002000,Eagle,105.405,100.00,105.41,32.27,30.62,5
17002200,Cottonwood,154.969,99.76,154.97,18.65,12.00,2
17002400,String,65.881,100.00,65.88,65.88,100.00,15
17004100,South Clear,240.801,100.00,240.80,240.80,100.00,15
17004801,Round,41.379,100.00,41.38,41.38,100.00,15
17004900,Carey,135.262,100.00,135.26,135.26,100.00,15
17005400,Bean,163.564,99.99,163.56,8.89,5.44,3.5
17005601,Double (North Portion),135.62,100.00,135.62,135.62,100.00,15
17006000,Talcot,873.039,99.57,873.04,347.81,39.67,4
17007300,Summit,64.138,100.00,64.14,43.93,68.49,8
18000100,Whitefish,433.995,59.78,434.00,425.66,58.63,14
18001800,Camp,241.156,45.16,241.16,241.16,45.16,15
18002000,Borden,370.936,35.93,370.94,370.94,35.93,15
18002800,Smith,225.287,45.90,225.29,225.29,45.90,15
18003400,Bay,878.981,37.89,878.98,1019.35,43.94,19
18003800,Clearwater,338.342,37.29,338.34,338.34,37.29,15
18004100,Crooked,462.68,50.57,234.00,50.57,234.00,15
18004101,Crooked (Sugar Bay),52.279,54.51,52.28,52.28,54.51,15
18004102,Crooked (Main Bay),187.154,51.83,187.15,187.15,51.83,15
18004400,Hanks,48.08,29.28,48.08,48.08,29.28,15
18005000,Portage,116.206,40.69,116.21,116.21,40.69,15
18008800,Platte,1615.908,94.32,1615.91,1615.91,94.32,15
18009000,Serpent,301.119,27.30,301.12,301.12,27.30,15
18009301,Rabbit (East Portion),240.878,35.77,240.88,349.10,51.84,19
18009302,Rabbit (West Portion),170.324,31.85,170.32,211.01,39.45,19
18009600,Upper South Long,292.083,36.72,292.08,243.28,30.59,12
18010400,Nokay,236.033,31.91,236.03,220.83,29.85,14
18011000,Grave,168.57,100.00,168.57,100.00,168.57,15
18011600,June,51.646,65.41,51.65,51.65,65.41,15
18013600,South Long,451.446,34.79,451.45,312.38,24.07,10
18014500,Rice,165.544,46.82,165.54,140.93,39.86,12
18015500,Crow Wing,202.023,54.14,202.02,152.86,40.97,12
18016100,Sebie,185.31,63.14,117.00,63.14,117.00,15
18016500,Ross,313.127,63.53,313.13,313.13,63.53,15
18018000,Lows,301.622,100.00,301.62,301.62,100.00,15
18018300,Island,153.488,63.61,153.49,90.16,37.36,8
18018400,Rogers,88.394,37.61,88.39,88.39,37.61,15
18018500,Mary,139.415,34.94,139.41,99.90,25.03,10
18018600,Perry,151.431,92.23,151.43,151.43,92.23,15
18019500,Dolney,271.497,99.94,271.50,271.50,99.94,15
18020300,Emily,720.621,99.85,720.62,720.62,99.85,15
18020500,Pickerel,89.969,76.89,89.97,89.97,76.89,15
18020800,Allen,20.027,44.42,20.03,20.03,44.42,15
18021100,Blue,69.026,38.93,69.03,69.03,38.93,15
18021200,Ruth,207.076,34.56,207.08,260.02,43.40,20
18021300,Anna,72.512,64.65,72.51,72.51,64.65,15
18021800,Trout,65.01,56.75,65.01,65.01,56.75,15
18022000,Smokey Hollow,68.642,54.70,68.64,68.64,54.70,15
18022400,Fool,241.738,99.54,241.74,241.74,99.54,15
18022500,Adney,151.779,48.95,151.78,216.33,69.77,22
18022600,Goodrich,253.533,66.35,253.53,253.53,66.35,15
18022701,O'Brien (Southwest Bay),68.794,69.11,68.79,68.79,69.11,15
18022702,O'Brien (Northeast Bay),33.113,38.44,33.11,33.11,38.44,15
18023100,Butterfield,167.298,86.37,167.30,167.30,86.37,15
18024200,Upper Mission,285.461,32.63,285.46,285.46,32.63,15
18024300,Lower Mission,470.595,64.96,470.59,414.96,57.28,13
18025100,Horseshoe,585.031,63.45,585.03,800.36,86.81,23
18026100,Pine,423.89,98.57,423.89,423.89,98.57,15
18026600,Little Pine,201.683,57.26,201.68,189.32,53.75,12
18026800,Loon,36.446,72.64,36.45,36.45,72.64,15
18026900,Island,88.074,48.94,88.07,97.86,54.38,20
18027000,Hen,59.38,51.25,59.38,59.38,51.25,15
18027100,Daggett,135.706,58.68,135.71,121.02,52.32,12
18027800,Pleasant,8.624,39.19,8.62,8.62,39.19,15
18028400,Velvet,82.108,50.18,82.11,82.11,50.18,15
18028700,Greer,287.535,81.14,287.53,287.53,81.14,15
18028800,Ox,137.065,55.39,137.07,137.07,55.39,15
18029300,Kego,186.518,63.02,186.52,186.52,63.02,15
18029400,Mitchell,118.179,27.58,118.18,118.18,27.58,15
18029600,Eagle,163.719,46.66,163.72,163.72,46.66,15
18029700,West Fox,138.393,31.27,138.39,138.39,31.27,15
18029800,East Fox,108.372,45.52,108.37,108.37,45.52,15
18030200,Little Ox,17.948,40.61,17.95,17.95,40.61,15
18030500,Edward,1397.324,54.24,1397.32,1397.32,54.24,15
18030800,Pelican,3883.672,46.34,3883.67,5320.70,63.49,24
18031000,Whitefish,2997.701,38.57,2997.70,3378.77,43.48,20
18031100,Rush,398.917,51.05,398.92,443.69,56.78,21
18031200,Cross Lake Reservoir,846.513,47.37,846.51,915.87,51.25,18
18031400,Duck,147.871,100.00,147.87,147.87,100.00,15
18031500,Big Trout,404.849,29.70,404.85,500.72,36.74,25
18033800,Gladstone,266.028,60.87,266.03,287.79,65.85,17
18034000,Little Hubert,153.479,79.14,153.48,153.48,79.14,15
18034200,Lougee,152.869,72.15,152.87,142.82,67.41,14
18035100,Little Pelican,195.788,72.15,195.79,217.50,80.15,18
18035200,Ossawinnamakee,259.431,37.56,259.43,314.39,45.52,20
18035400,Pig,64.525,35.43,64.52,67.47,37.05,16
18035500,Bertha,113.581,33.67,113.58,124.37,36.87,18
18035600,Clamshell,154.879,66.66,154.88,162.47,69.93,19
18035800,Bass,66.61,54.29,66.61,75.76,61.74,20
18035900,Star,29.318,23.00,29.32,42.84,33.61,22
18036100,Kimball,46.27,25.32,46.27,77.69,42.51,25
18036400,Clear,60.194,27.11,60.19,60.19,27.11,15
18036600,Arrowhead,296.368,100.00,296.37,296.37,100.00,11
18037100,Perch,157.976,57.53,157.98,155.44,56.61,14
18037200,North Long,4018.379,65.40,4018.38,4321.49,70.34,20
18037300,Round,593.594,35.97,593.59,611.61,37.07,16
18037400,Clark,239.074,77.92,239.07,253.77,82.71,18
18037500,Hubert,456.978,35.49,456.98,456.98,35.49,15
18037600,Upper Cullen,232.78,53.57,232.78,212.02,48.79,13
18037700,Middle Cullen,137.492,34.66,137.49,137.49,34.66,15
18037800,Lower Hay,149.895,21.63,149.89,159.11,22.96,17
18037900,White Sand,282.539,68.92,282.54,282.54,68.92,15
18038600,Red Sand,522.546,100.00,522.55,522.55,100.00,17.9
18038701,Upper Whipple,40.996,100.00,41.00,41.00,100.00,15
18038702,Middle Whipple,109.917,73.76,109.92,109.92,73.76,15
18038703,Lower Whipple,104.848,100.00,104.85,104.85,100.00,15
18038800,Love,64.671,82.37,64.67,56.94,72.52,9
18039600,Edna,93.119,58.78,93.12,93.12,58.78,15
18039700,Fawn,43.987,68.29,43.99,43.99,68.29,15
18039800,Roy,174.462,54.34,174.46,252.90,78.78,18
18039900,Nisswa,129.15,58.89,129.15,173.61,79.17,17
18040200,Bass,35.728,89.79,35.73,35.73,89.79,15
18040300,Lower Cullen,201.248,35.94,201.25,236.16,42.17,17
18040400,Sibley,274.499,61.67,274.50,254.67,57.22,12
18040700,East Twin,100.949,61.81,100.95,129.09,79.04,26
18040800,Mayo,156.391,94.55,156.39,146.76,88.73,12
18040900,West Twin,86.059,67.50,86.06,86.06,67.50,15
18041200,Upper Hay,208.364,34.98,208.36,268.78,45.12,18
18041400,Clough,245.265,99.72,245.26,245.26,99.72,15
18041500,Jail,122.923,67.00,122.92,60.32,32.88,10
18041600,Lizzie,413.771,99.50,413.77,413.77,99.50,15
18043400,Yawkey Mine,2.908,20.92,2.91,2.91,20.92,15
18043500,Manuel Mine,8.565,20.88,8.56,8.56,20.88,15
18043700,Portsmouth Mine,22.534,15.08,22.53,22.53,15.08,15
18043900,Pennington Mine,10.005,16.16,10.00,10.00,16.16,15
18044000,"Mahnomen, Alstead & Arco",48.023,19.03,48.02,48.02,19.03,15
18044100,Huntington Mine,18.955,17.87,18.95,18.95,17.87,15
18052300,Sagamore Mine,25.169,20.27,25.17,25.17,20.27,15
19000300,Rebecca,81.523,98.69,81.52,81.58,98.76,4
19000600,Byllesby,935.968,67.68,935.97,935.97,67.68,15
19002300,Farquar,63.581,100.00,63.58,63.58,100.00,15
19002600,Marion,417.991,79.27,417.99,406.15,77.02,14
19002700,Crystal,221.709,76.81,221.71,184.43,63.90,10
19003100,Orchard,172.065,74.22,172.06,137.93,59.50,9
19003400,Unnamed (Bohrer Pond),20.901,100.00,20.90,20.90,100.00,15
19005000,Sunfish,43.79,88.46,43.79,43.79,88.46,15
19005700,Fish,25.527,82.22,25.53,23.55,75.85,11
19006500,Holland,27.241,72.21,27.24,28.87,76.53,20
19006600,Carlson,8.913,75.03,8.91,8.91,75.03,15
19007900,Pickerel,104.454,100.00,104.45,104.45,100.00,15
19008000,Rogers,102.338,100.00,102.34,102.34,100.00,15
19008100,Augusta,17.13,37.49,17.13,17.13,37.49,15
19025900,Bur Oaks Pond,14.47,100.00,14.47,14.47,100.00,15
19045900,Ann,9.521,52.83,9.52,9.52,52.83,15
19046000,North,4.266,44.78,4.27,4.27,44.78,15
21001600,Smith,363.972,54.62,363.97,413.22,62.02,17
21004100,Union,57.335,53.43,57.34,62.08,57.85,18
21004900,Burgen,46.79,26.86,46.79,46.79,26.86,15
21005100,Henry,91.563,60.19,91.56,91.56,60.19,15
21005200,Geneva,295.381,46.17,295.38,295.38,46.17,15
21005300,Agnes,61.375,44.65,61.38,61.38,44.65,15
21005400,Victoria,131.166,31.47,131.17,131.17,31.47,15
21005500,Jessie,69.041,62.63,69.04,69.04,62.63,15
21005600,Le Homme Dieu,879.659,49.24,879.66,879.66,49.24,15
21005700,Carlos,922.22,35.38,922.22,965.39,37.04,17
21007300,Vermont,217.638,69.89,217.64,244.40,78.49,21
21007600,Irene,240.379,37.68,240.38,240.38,37.68,15
21007900,Maple,405.004,48.75,405.00,464.43,55.90,19
21008000,Darling,553.886,52.75,553.89,553.89,52.75,15
21008300,Miltona,2758.663,48.19,2758.66,3171.23,55.40,20
21008500,Andrew,322.666,35.14,322.67,345.58,37.63,17
21009000,Turtle,181.632,83.30,181.63,124.69,57.19,8
21009200,Mary,1096.448,44.75,1096.45,1943.19,79.30,22
21009400,Louise,98.146,45.76,98.15,98.15,45.76,15
21009500,North Union,88.267,78.01,88.27,84.78,74.93,13
21010100,Stony,58.034,67.48,58.03,56.83,66.08,14
21010200,Brophy,163.551,55.20,163.55,167.82,56.64,16
21010300,"Cowdrey,Lake",85.98,35.45,85.98,89.43,36.87,16
21010500,Lottie,40.781,87.95,40.78,38.84,83.76,13
21010600,Latoka,268.797,35.06,268.80,331.80,43.28,25
21010800,Mina,158.203,38.45,158.20,196.26,47.70,24
21011100,Cook,70.909,67.48,70.91,64.36,61.25,12
21012000,Charley,109.649,79.32,109.65,109.65,79.32,15
21012300,Ida,1751.072,39.56,1751.07,2106.87,47.59,21
21013000,Spring,53.571,45.72,53.57,53.57,45.72,15
21013600,Indian,70.115,67.83,70.12,47.59,46.03,8
21014000,Pocket,110.371,41.90,110.37,87.49,33.21,9
21014400,Lobster,1334.25,51.91,692.67,51.91,692.67,15
21014401,Lobster (East Bay),358.52,49.83,358.52,358.52,49.83,15
21014402,Lobster (West Bay),334.147,54.12,334.15,334.15,54.12,15
21014500,Chippewa,550.687,46.72,550.69,625.32,53.05,18
21015000,Grants,64.306,36.38,64.31,64.31,36.38,15
21015100,Blackwell,202.897,66.01,202.90,159.12,51.77,10
21015601,Little Oscar (Main),169.958,99.24,169.96,169.96,99.24,15
21015700,Echo,91.483,72.44,91.48,91.48,72.44,15
21016000,Rachel,104.029,31.99,104.03,151.25,46.52,25
21016200,Freeborn,171.874,70.71,171.87,95.87,39.44,11
21018000,Mill,196.417,43.62,196.42,196.42,43.62,15
21021200,Little Chippewa,147.945,55.37,147.94,147.94,55.37,15
21021300,Devils,163.766,70.10,163.77,163.77,70.10,15
21021600,Whiskey,72.627,45.53,72.63,52.32,32.80,9
21024200,Aaron,466.963,76.51,466.96,443.85,72.73,14
21024500,Moses,392.685,47.67,392.68,449.89,54.61,21
21025702,South Oscar,827.139,86.04,827.14,827.14,86.04,15
21026400,Stowe,388.819,100.00,388.82,381.35,98.08,13
21029100,Red Rock,519.518,56.59,519.52,306.33,33.37,7
21032300,Jennie,300.111,100.00,300.11,300.11,100.00,15
21035500,Ina,125.077,57.46,125.08,125.08,57.46,15
21055100,Nelson,57.315,66.02,57.31,57.31,66.02,15
22007400,Bass,152.236,77.04,152.24,86.68,43.87,9
24001400,Albert Lea,2685.174,100.00,2685.17,2685.17,100.00,15
24001500,Geneva,1884.249,100.00,1884.25,1884.25,100.00,15
24001801,Fountain (East Bay),252.156,99.89,252.16,252.16,99.89,15
24001802,Fountain (West Bay),144.924,100.00,144.92,144.92,100.00,15
24002400,White,168.14,100.00,168.14,168.14,100.00,15
24002500,Pickeral,587.565,98.99,587.57,587.57,98.99,15
24002700,Lower Twin,332.554,100.00,332.55,332.55,100.00,15
24004000,School Section,86.99,100.00,86.99,86.99,100.00,15
24004300,Morin,21.073,100.00,21.07,21.07,100.00,15
25000100,Pepin,8377.652,33.11,8377.65,8377.65,33.11,15
25001400,Sturgeon,822.557,99.37,822.56,822.56,99.37,15
25001700,U.S. Lock & Dam #3,1247.911,100.00,1247.91,1247.91,100.00,15
25001900,Clear,145.878,100.00,145.88,145.88,100.00,15
26000200,Pelican,3042.478,80.12,3042.48,1960.96,51.64,10
26002000,Thompson,73.858,48.07,73.86,14.29,9.30,3
26004000,Elk,109.396,52.95,109.40,76.93,37.24,9
26004600,Lower Elk,131.361,100.00,131.36,77.94,59.33,11
26009500,Barrett,422.305,79.74,422.30,278.14,52.52,7
26009700,Pomme de Terre,1613.058,89.17,1613.06,1011.73,55.93,8
27001600,Harriet,88.942,26.07,88.94,92.74,27.18,16
27001800,Hiawatha,26.573,48.87,26.57,13.80,25.38,8
27001900,Nokomis,104.259,51.01,104.26,55.58,27.19,12
27003100,Bde Maka Ska,113.946,27.17,113.95,113.95,27.17,15
27003400,Crystal,79.12,66.99,53.00,66.99,53.00,15
27003501,Sweeney,37.767,55.84,37.77,37.77,55.84,15
27003700,Wirth,23.051,60.36,23.05,20.74,54.32,13
27003800,Brownie,6.993,64.20,6.99,6.99,64.20,15
27003900,Cedar,60.061,36.67,60.06,60.06,36.67,15
27004000,Lake of the Isles,92.022,75.62,92.02,82.96,68.17,10
27004201,Upper Twin,123.503,96.59,123.50,123.50,96.59,15
27004202,Middle Twin,28.384,48.58,28.38,28.38,48.58,15
27004203,Lower Twin,26.604,81.12,26.60,26.60,81.12,15
27004700,Bush,117.926,64.92,117.93,117.93,64.92,15
27004800,Hyland,83.913,99.50,83.91,46.52,55.16,9
27005200,Hannan,34.191,100.00,34.19,34.19,100.00,15
27006201,North Anderson,177.994,100.00,177.99,177.99,100.00,15
27006202,Southeast Anderson,82.041,100.00,82.04,82.04,100.00,15
27006203,Southwest Anderson,102.603,100.00,102.60,102.60,100.00,15
27006700,Bryant,90.148,51.02,90.15,66.17,37.45,10
27007000,Mitchell,110.617,97.10,110.62,110.62,97.10,15
27007300,Smetana,52.225,98.48,52.23,52.23,98.48,15
27007600,Red Rock,96.611,99.58,96.61,96.61,99.58,15
27007800,Staring,156.217,95.05,156.22,147.75,89.90,12
27009000,Holiday,,,,,,
27009501,Gleason (Main Lake),165.848,99.38,165.85,165.85,99.38,15
27009800,Bass,149.282,81.49,149.28,149.28,81.49,15
27010000,Pomerleau,17.752,69.09,17.75,15.82,61.59,12
27010200,Schmidt,41.24,92.34,41.24,41.24,92.34,15
27010400,Medicine,434.53,46.74,434.53,434.53,46.74,15
27010700,Parkers,71.621,73.88,71.62,66.89,69.00,13
27010900,Hadley,,,,,,
27011101,Eagle,203.29,68.10,203.29,216.93,72.67,16
27011102,Pike,54.081,95.44,54.08,48.95,86.39,13
27011600,Rice,353.377,99.97,353.38,321.51,90.95,10
27011700,Weaver,73.243,48.16,73.24,66.34,43.62,11
27011800,Fish,80.411,33.81,80.41,80.41,33.81,15
27012500,Diamond,405.015,99.92,405.02,405.02,99.92,15
27013300,Minnetonka,6032.044,36.61,6032.04,6032.04,36.61,15
27013301,Minnetonka-Grays Bay,164.537,87.58,164.54,164.54,87.58,15
27013302,Minnetonka-Lower Lake,2059.409,32.94,2059.41,2059.41,32.94,15
27013303,Minnetonka-Carsons Bay,78.863,68.68,78.86,78.86,68.68,15
27013304,Minnetonka-St. Albans Bay,103.155,62.08,103.16,103.16,62.08,15
27013305,Minnetonka-Upper Lake,1699.304,37.59,1699.30,1699.30,37.59,15
27013306,Minnetonka-Black Lake,63.1,65.45,63.10,63.10,65.45,15
27013307,Minnetonka-Seton Lake,38.019,86.95,38.02,38.02,86.95,15
27013308,Minnetonka-Emerald Lake,14.214,97.48,14.21,14.21,97.48,15
27013309,Minnetonka-Halsteds Bay,321.84,55.02,321.84,321.84,55.02,15
27013310,Minnetonka-Crystal Bay,317.357,38.90,317.36,317.36,38.90,15
27013311,Minnetonka-Maxwell Bay,166.474,54.64,166.47,166.47,54.64,15
27013312,Minnetonka-Stubbs Bay,111.495,55.95,111.49,111.49,55.95,15
27013313,Minnetonka-North Arm,169.204,52.16,169.20,169.20,52.16,15
27013314,Minnetonka-West Arm,537.829,65.33,537.83,537.83,65.33,15
27013315,Minnetonka-Jennings Bay,187.503,59.92,187.50,187.50,59.92,15
27013400,Mooney,123.79,100.00,123.79,100.00,123.79,15
27013700,Christmas,69.711,26.09,69.71,74.04,27.71,18
27013800,Peavey,5.383,58.97,5.38,5.38,58.97,15
27013900,Forest,51.926,57.63,51.93,51.93,57.63,15
27014100,Tanager,41.379,77.38,41.38,41.38,77.38,15
27014900,Spurzem,49.542,60.50,49.54,49.54,60.50,15
27015100,School,9.384,83.81,9.38,9.38,83.81,15
27015200,Half Moon,21.805,66.03,21.81,21.81,66.03,15
27016000,Long,154.873,54.11,154.87,99.26,34.68,8.5
27016200,Classen,65.527,100.00,65.53,65.53,100.00,15
27017100,Sylvan,128.643,97.05,128.64,128.64,97.05,15
27017600,Independence,424.769,50.58,424.77,308.66,36.75,9
27017901,North Little Long,16.479,31.53,16.48,16.48,31.53,15
27017902,South Little Long,8.026,46.67,8.03,8.03,46.67,15
27018100,Dutch,93.864,54.34,93.86,44.97,26.04,6.5
27018200,Langdon,120.44,84.02,120.44,78.67,54.89,6
27018400,Whaletail,468.998,91.96,469.00,412.61,80.90,9
27019100,Sarah,557.23,66.94,373.00,66.94,373.00,15
27019101,West Sarah,242.6,67.83,242.60,242.60,67.83,15
27019102,East Sarah,113.38,55.70,113.38,113.38,55.70,15
27019200,Rebecca,122.716,46.61,122.72,40.86,15.52,4.5
27019500,Unnamed,12.607,100.00,12.61,12.61,100.00,15
27019900,Hafften,22.879,62.35,22.88,15.41,42.01,8
27030000,Unnamed,8.832,100.00,8.83,8.83,100.00,15
27066800,Highland Park Pond,10.386,91.86,10.39,10.39,91.86,15
27069300,Hidden,4.046,52.98,4.05,4.05,52.98,15
28003100,South Fork,35.468,100.00,35.47,35.47,100.00,15
29000200,Mow,66.943,63.01,66.94,66.94,63.01,15
29000300,Nagel,31.725,45.76,31.72,31.72,45.76,15
29000500,Tripp,69.439,44.65,69.44,69.44,44.65,15
29001700,Ham,190.543,98.13,190.54,190.54,98.13,15
29002500,Ninth Crow Wing,90.585,40.50,90.59,90.59,40.50,15
29003200,Big Bass,57.488,43.39,57.49,57.49,43.39,15
29003601,Eleventh Crow Wing (Main),90.239,18.84,90.24,90.24,18.84,15
29003602,Eleventh Crow Wing (East),83.172,30.43,83.17,83.17,30.43,15
29004300,Shingobee,51.801,30.13,51.80,51.80,30.13,15
29004500,Tenth Crow Wing,107.792,61.52,107.79,123.44,70.46,18
29004800,Benedict,180.544,38.81,180.54,194.85,41.88,20
29005900,Horseshoe,152.799,57.88,152.80,152.80,57.88,15
29006100,Garfield,517.27,53.90,517.27,588.91,61.37,20
29006300,Hart,226.308,100.00,226.31,226.31,100.00,15
29006600,Midge,520.738,95.42,520.74,520.74,95.42,15
29007100,Grace,352.934,40.94,352.93,352.93,40.94,15
29007200,Eighth Crow Wing,148.572,30.12,148.57,211.53,42.89,20
29007400,Indian,23.098,45.25,23.10,23.10,45.25,15
29007500,Kabekona,602.049,24.74,602.05,652.76,26.83,19
29007700,Third Crow Wing,402.455,63.35,402.46,402.46,63.35,15
29007800,Fourth Crow Wing,440.409,100.00,440.41,440.41,100.00,15
29008500,Second Crow Wing,114.418,52.75,114.42,128.47,59.23,17
29008600,First Crow Wing,519.137,99.86,519.14,519.14,99.86,15
29008700,Palmer,97.884,66.93,97.88,97.88,66.93,15
29008800,Island,149.665,62.77,149.67,189.97,79.68,18
29008900,Shallow,284.3,100.00,284.30,284.30,100.00,15
29009000,Deer,163.376,100.00,163.38,163.38,100.00,15
29009100,Seventh Crow Wing,120.138,46.44,120.14,120.14,46.44,15
29009200,Fifth Crow Wing,199.583,49.88,199.58,199.58,49.88,15
29009300,Sixth Crow Wing,168.45,49.61,168.45,168.45,49.61,15
29009700,Clausens,81.833,100.00,81.83,81.83,100.00,15
29009800,Waboose,146.692,83.72,146.69,159.04,90.77,19
29010101,East Crooked,128.297,33.85,128.30,128.30,33.85,15
