"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size"
"2017-1043","Hennepin","Minnetonka",27013304,2020,"EWM","Kammo Plus",2020-07-23,2020-07-23,3.84
"2017-1043","Hennepin","Minnetonka",27013304,2022,"CLP","Sonar A.S.",2022-05-11,2022-05-11,160
"2017-1043","Hennepin","Minnetonka",27013304,2022,"EWM","Sonar",2022-07-13,2022-07-13,160
"2017-1043","Hennepin","Minnetonka",27013304,2022,NA,"Sonar A.S.",2022-06-09,2022-06-09,100
"2017-1044","Hennepin","Minnetonka",27013313,2020,"CLP","Tribune",2020-05-15,2020-05-15,47.7
"2017-1044","Hennepin","Minnetonka",27013313,2021,"CLP","Tribune",2021-05-26,2021-05-26,50.1
"2017-1044","Hennepin","Minnetonka",27013313,2025,"CLP","Tribune",2025-05-07,2025-05-07,53.62
"2017-1047","Hennepin","Minnetonka",27013310,2020,"EWM","Tribune",2020-06-11,2020-06-11,17
"2017-1047","Hennepin","Minnetonka",27013310,2022,"EWM","ProcellaCOR",2022-07-26,2022-07-26,52.9
"2017-1050","Lincoln","Benton",41004300,2020,"CLP","Sonar A.S.",2020-05-14,2020-05-14,1034
"2017-1050","Lincoln","Benton",41004300,2021,"CLP","Sonar A.S.",2021-04-14,2021-04-14,1034
"2017-1072","Crow Wing","Platte",18008800,2020,"CLP","Aquathol K",2020-05-20,2020-05-20,43.2
"2017-1072","Crow Wing","Platte",18008800,2021,"CLP","Aquathol K",2021-05-21,2021-05-21,42.3
"2017-1083","Anoka","Coon",2004200,2021,"CLP","Tribune",2021-05-05,2021-05-05,9.2
"2017-1092","Anoka","Coon",2004200,2021,"EWM","ProcellaCOR EC",2021-07-12,2021-07-12,22.83
"2017-1092","Anoka","Coon",2004200,2022,"EWM","ProcellaCOR EC",2022-07-22,2022-07-22,40.3
"2017-1097","Carver","Minnewashta",10000900,2020,"CLP","Dibrox",2020-05-19,2020-05-19,36.6
"2017-1097","Carver","Minnewashta",10000900,2021,"CLP","Dibrox",2021-05-18,2021-05-18,41.1
"2017-1154","Ramsey","Bald Eagle",62000200,2020,"CLP","Diquat Herbicide",2020-05-04,2020-05-04,72.6
"2017-1154","Ramsey","Bald Eagle",62000200,2022,"CLP","Tribune",2023-05-16,2023-05-16,68.93
"2017-1210","Washington","Big Marine",82005200,2020,"EWM","ProcellaCOR EC",2020-07-16,2020-07-16,3.76
"2017-1210","Washington","Big Marine",82005200,2022,"EWM","ProcellaCOR",2022-08-04,2022-08-04,5.18
"2017-1297","Dakota","Farquar",19002300,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,10
"2017-1297","Dakota","Farquar",19002300,2022,"CLP","Aquathol K",2022-05-10,2022-05-10,9.27
"2017-1306","Rice","Cedar",66005200,2020,"CLP","Aquathol K",2020-05-11,2020-05-11,24.5
"2017-1306","Rice","Cedar",66005200,2021,"CLP","Aquathol K",2021-05-12,2021-05-12,18.8
"2017-1306","Rice","Cedar",66005200,2022,"CLP","Aquathol K",2022-05-10,2022-05-10,35
"2017-1306","Rice","Cedar",66005200,2023,"CLP","Aquathol K",2023-05-11,2023-05-11,50
"2017-1307","Waseca","Clear",81001401,2020,"CLP","Aquathol K",2020-05-06,2020-05-06,30
"2017-1312","Becker","Sallie",3035900,2022,"FR","Tribune",2022-06-28,2022-08-01,62.2
"2017-1313","Becker","Melissa",3047500,2021,"FR","Tribune",2021-06-28,2021-06-28,24
"2017-1367","Wright","East Sylvia",86028900,2023,"EWM","Platoon",2023-08-25,2023-08-25,3.06
"2017-1379","Wright","Howard",86019900,2022,"EWM","2,4-D Amine",2022-08-22,2022-08-22,44.4
"2017-1486","Pope","Minnewaska",61013000,2020,"EWM","2,4-D Amine",2020-08-21,2020-08-21,18.14
"2017-1486","Pope","Minnewaska",61013000,2021,"EWM","2,4-D Amine",2021-07-16,2021-07-16,16.74
"2017-1486","Pope","Minnewaska",61013000,2022,"EWM","2,4-D Amine",2022-09-13,2022-09-13,5.27
"2017-1500","Blue Earth","Ballantyne",7005400,2022,"EWM","2,4-D Amine",2022-06-22,2022-06-22,37.1
"2017-1500","Blue Earth","Ballantyne",7005400,2023,"EWM","2,4-D Amine",2023-06-27,2023-06-27,10.6
"2017-1507","Wright","Maple",86013400,2020,"CLP","Tribune",2020-05-12,2020-05-12,10.1
"2017-1507","Wright","Maple",86013400,2021,"CLP","Tribune",2021-05-11,2021-05-11,10.1
"2017-1512","Carlton","Chub",9000800,2020,"EWM","ProcellaCOR EC",2020-07-10,2020-07-10,11
"2017-1512","Carlton","Chub",9000800,2021,"EWM","ProcellaCOR",2021-06-24,2021-06-24,13.2
"2017-1565","Dakota","Marion",19002600,2021,"CLP","Tribune",2021-05-17,2021-05-17,16.46
"2017-1707","Crow Wing","Mayo",18040800,2022,"CLP","Aquathol K",2022-05-19,2022-05-19,9.6
"2017-1709","Washington","Bone",82005400,2020,"CLP","Aquathol K",2020-05-12,2020-05-12,5.14
"2017-1709","Washington","Bone",82005400,2021,"CLP","Aquathol K",2021-05-26,2021-05-26,4.38
"2017-1779","Douglas","Smith",21008500,2023,"CLP","Aquathol K",2023-05-30,2023-05-30,42.6
"2017-1825","Le Sueur","Tetonka",40003100,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,58.74
"2017-1825","Le Sueur","Tetonka",40003100,2021,"CLP","Aquathol K",2021-05-18,2021-05-18,58.74
"2017-1826","Crow Wing","Grave",18011000,2025,"CLP","FlumigardSC",2025-05-05,2025-05-05,5.5
"2017-1881","Hennepin","Minnetonka",27013300,2020,"CLP","Tribune",2020-05-15,2020-05-15,27.3
"2017-1881","Hennepin","Minnetonka",27013305,2022,"CLP","Tribune",2022-06-01,2022-06-01,25
"2017-1978","Washington","Jane",82010400,2020,"EWM","ProcellaCOR EC",2020-09-18,2020-09-18,6.71
"2017-1982","Ramsey","Silver",62000100,2020,"CLP","Tribune",2020-05-29,2020-05-29,6.52
"2017-1984","Crow Wing","Bay",18003400,2024,"EWM","Platoon",2024-10-09,2024-10-09,4.41
"2017-1985","Crow Wing","Bay",18003400,2020,"EWM","2,4-D Amine",2020-06-22,2020-10-19,44.74
"2017-1985","Crow Wing","Bay",18003400,2021,"EWM","2,4-D Amine",2021-10-11,2021-10-12,83.34
"2017-1985","Crow Wing","Bay",18003400,2021,"EWM","Dibrox",2021-10-11,2021-10-11,6.5
"2017-1985","Crow Wing","Bay",18003400,2021,"EWM","Platoon",2021-06-22,2021-06-22,7.288
