"","survey_id","DOW","SURVEY_START","lag0_before","lag0_after","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8"
"127",521,"27010400",2018-08-31,1,0,1,0,0,0,0,0,0,0
"128",522,"27010400",2019-04-25,0,1,1,1,0,0,0,0,0,0
"129",523,"27010400",2019-06-19,1,0,1,1,0,0,0,0,0,0
"130",524,"27010400",2019-08-14,1,0,1,1,0,0,0,0,0,0
"131",525,"27010400",2020-06-11,1,0,1,1,1,0,0,0,0,0
"132",560,"27011900",2021-06-25,1,0,1,1,1,1,0,0,0,0
"133",563,"27012500",2018-06-28,1,0,1,0,0,0,0,0,0,0
"134",564,"27012500",2018-09-04,1,0,1,0,0,0,0,0,0,0
"135",565,"27012500",2019-06-25,1,0,1,1,0,0,0,0,0,0
"136",566,"27012500",2019-08-19,1,0,1,1,0,0,0,0,0,0
"137",567,"27012500",2020-06-03,1,0,1,1,1,0,0,0,0,0
"138",689,"27019100",2017-06-01,1,0,0,0,0,0,0,0,0,0
"139",690,"27019100",2017-08-25,1,0,0,0,0,0,0,0,0,0
"140",691,"27019100",2018-06-13,1,0,1,0,0,0,0,0,0,0
"141",692,"27019100",2018-08-20,1,0,1,0,0,0,0,0,0,0
"142",693,"27019100",2019-06-07,1,0,1,1,0,0,0,0,0,0
"143",694,"27019100",2019-09-06,1,0,1,1,0,0,0,0,0,0
"144",695,"27019100",2019-09-16,1,0,1,1,0,0,0,0,0,0
"145",696,"27019100",2020-06-10,1,0,1,1,1,0,0,0,0,0
"146",714,"27027500",2021-05-02,0,1,0,0,0,0,0,0,0,0
"147",715,"27027500",2023-05-13,0,0,0,1,0,0,0,0,0,0
"148",716,"27027500",2025-04-26,0,1,0,0,0,1,0,0,0,0
"149",729,"27066900",2019-05-05,1,0,0,0,0,0,0,0,0,0
"150",731,"27066900",2021-05-02,0,0,2,1,0,0,0,0,0,0
"151",732,"27066900",2022-05-15,1,0,0,2,1,0,0,0,0,0
"152",733,"27066900",2023-05-13,0,0,1,0,2,1,0,0,0,0
"153",734,"27066900",2024-04-08,0,1,0,1,0,2,1,0,0,0
"154",741,"27067700",2022-05-15,1,0,0,0,0,0,0,0,0,0
"155",742,"27067700",2023-05-13,0,0,1,0,0,0,0,0,0,0
"156",743,"27067700",2024-04-08,0,1,0,1,0,0,0,0,0,0
"157",995,"62000200",2019-08-22,1,0,1,1,0,0,0,0,0,0
"158",996,"62000200",2020-08-13,1,0,1,1,1,0,0,0,0,0
"159",997,"62000200",2021-09-13,1,0,1,1,1,1,0,0,0,0
"160",998,"62000200",2023-08-09,1,0,1,1,1,1,1,1,0,0
"161",999,"62000200",2022-08-09,1,1,1,1,1,1,1,0,0,0
