"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size","LAKE_NAME","LakeAreaAcres","15ft_LittoralZone_Acres","ObservedLittoralZone_Acres","Percentage_15ft_LittoralZone","Percentage_ObservedLittoralZone","Depth_ObservedLittoralZone","TreatmentSize_PercentofLake","TreatmentSize_PercentofLittoral","iceoff_est"
"2019-1303","Washington","Shields",82016200,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,3.54,"Shields",25.527,25.53,20.19,86.44,68.35,9,13.8676695263838,17.5334323922734,NA
"2019-1303","Washington","Shields",82016200,2021,"CLP","Aquathol K",2021-05-26,2021-05-26,3.18,"Shields",25.527,25.53,20.19,86.44,68.35,9,12.4573980491245,15.7503714710253,NA
"2019-1303","Washington","Shields",82016200,2022,"CLP","Aquathol K",2022-05-27,2022-05-27,3.27,"Shields",25.527,25.53,20.19,86.44,68.35,9,12.8099659184393,16.1961367013373,NA
"2020-0145","Ramsey","Keller",62001002,2022,"CLP","Tribune",2022-06-07,2022-10-26,11.9,"Keller (main bay)",73.316,73.32,73.32,95.55,95.55,15,16.2311091712587,16.2302236770322,NA
"2020-0148","Ramsey","Kohlman",62000600,2022,"CLP","Tribune",2022-06-07,2022-10-26,15.9,"Kohlman",82.899,82.9,44.19,100,53.3,4,19.1799659827018,35.9809911744739,106.950834115022
"2020-0172","Wright","Clearwater",86025200,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,27.3,"Clearwater",3186.88,1595.6,50.07,50.07,1595.6,15,0.856637212571543,54.5236668663871,99.6119207575624
"2020-0172","Wright","Clearwater",86025200,2021,"CLP","Aquathol K",2021-05-12,2021-05-12,23.51,"Clearwater",3186.88,1595.6,50.07,50.07,1595.6,15,0.737712119690732,46.9542640303575,88.1517199495239
"2020-0903","Anoka","Centerville",2000600,2021,"CLP","Tribune",2021-05-12,2021-05-12,40.64,"Centerville",288.639,288.64,157.56,60.89,33.24,8,14.0798713964502,25.7933485656258,84.9753867480329
"2020-0903","Anoka","Centerville",2000600,2022,"CLP","Diquat Herbicide",2022-05-17,2022-05-17,40.76,"Centerville",288.639,288.64,157.56,60.89,33.24,8,14.121445819865,25.8695100279259,109.249406498094
"2020-0903","Anoka","Centerville",2000600,2022,"CLP","Tribune",2023-05-16,2023-05-16,40.81,"Centerville",288.639,288.64,157.56,60.89,33.24,8,14.1387684962878,25.9012439705509,109.438243583316
"2020-0903","Anoka","Centerville",2000600,2024,"CLP","Diquat Herbicide",2024-04-15,2024-04-15,42.49,"Centerville",288.639,288.64,157.56,60.89,33.24,8,14.7208104240938,26.967504442752,69.3877103090756
"2021-0006","Douglas","Irene",21007600,2022,"CLP","Galleon SC",2022-05-24,2022-05-24,164,"Irene",240.379,240.38,240.38,37.68,37.68,15,68.22559374987,68.2253099259506,117.565404119211
"2021-0100","Wright","Dean",86004100,2021,"CLP","Aquathol K",2021-04-28,2021-04-28,9.6,"Dean",126.941,126.94,39.76,72.22,22.62,5,7.56256843730552,24.1448692152917,NA
"2021-0100","Wright","Dean",86004100,2021,"CLP","Tribune",2021-05-02,2021-05-02,6,"Dean",126.941,126.94,39.76,72.22,22.62,5,4.72660527331595,15.0905432595573,NA
"2021-0312","Renville","Preston",65000200,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,13,"Preston",660.847,660.85,82.04,99.49,12.35,4,1.9671724317429,15.8459288152121,82.7973718867319
"2021-0437","Meeker","Jennie",47001500,2021,"CLP","Diquat SPC 2 L",2021-05-19,2021-05-19,115,"Jennie",1064.033,1064.03,440.02,100,41.35,8,10.8079354681669,26.135175673833,86.1695587309659
"2021-0465","Ramsey","Johanna",62007800,2021,"CLP","Tribune",2021-05-12,2021-05-12,12.3,"Johanna",92.929,92.93,68.06,43.92,32.17,10,13.2359112871117,18.0722891566265,84.3531004859867
"2021-0465","Ramsey","Johanna",62007800,2021,"CLP","Tribune",2021-05-12,2021-05-12,12.3,"Johanna",92.929,92.93,68.06,43.92,32.17,10,13.2359112871117,18.0722891566265,84.3531004859867
"2021-0483","Wright","Martha",86000900,2022,"CLP","Aquathol K",2022-05-11,2022-05-11,10,"Martha",71.046,71.05,57.66,75.75,61.48,9,14.0753877769333,17.3430454387791,108.279584425098
"2021-1772","Hennepin","Minnetonka",27013301,2025,"CLP","Tribune",2025-05-13,2025-05-13,27,"Minnetonka-Grays Bay",164.537,164.54,164.54,87.58,87.58,15,16.4096829284599,16.4093837364775,NA
"2022-0175","Chisago","Chisago",13001200,2022,"CLP","Weedar 64",2022-06-22,2022-06-22,11.95,"Chisago",943.96,694.5,73.57,73.57,694.5,15,1.26594347218102,16.2430338453174,111.429045249573
"2022-0318","Washington","Colby",82009400,2022,"CLP","Sonar A.S.",2022-10-05,2022-11-02,141.88,"Colby",70.94,68.87,97.08,97.08,68.87,15,200,146.147507210548,NA
"2022-0322","Washington","Ravine",82008700,2022,"CLP","Sonar A.S.",2022-10-05,2023-04-25,81.36,"Unnamed",18.626,18.63,18.63,97.15,97.15,15,436.808761945667,436.714975845411,NA
